event_idx,track_idx,muon_pixel_tracks_p,muon_pixel_tracks_pt,muon_pixel_tracks_ptErr,muon_pixel_tracks_chi2,muon_pixel_tracks_normalizedChi2,muon_pixel_tracks_etaErr,muon_pixel_tracks_phiErr,muon_pixel_tracks_dszErr,muon_pixel_tracks_dxyErr,muon_pixel_tracks_dzErr,muon_pixel_tracks_qoverpErr,muon_pixel_tracks_lambdaErr,muon_pixel_tracks_eta,muon_pixel_tracks_nPixelHits,muon_pixel_tracks_nTrkLays,muon_pixel_tracks_nFoundHits,muon_pixel_tracks_nLostHits,muon_pixel_tracks_impact3D,muon_pixel_tracks_impactSignificance,muon_pixel_tracks_chi2PerHit,muon_pixel_tracks_hitEfficiency,muon_pixel_tracks_sigmaPtOverPt,muon_pixel_tracks_relUncertaintyProduct,muon_pixel_tracks_sip2D,muon_pixel_tracks_sipZ,muon_pixel_tracks_dxyOverPt,muon_pixel_tracks_ptErrOverP,muon_pixel_tracks_dzOverDxy,muon_pixel_tracks_absEta,L1TkMu_nStubs,L1TkMu_nStubs_Endcap,L1TkMu_nStubs_Barrel,L1TkMu_stubQual_max,L1TkMu_stubMax_etaRegion,L1TkMu_stubMax_phiRegion,L1TkMu_stubMax_depthRegion,L1TkMu_hasMatch,L1TkMu_dR2min,L1TkMu_dPtNorm,L1TkMu_chi2Pt,L1TkMu_matchingScore,L1TkMu_nCompatible,L1TkMu_secondBest_dR2,is_low_pt
0,0,1.066364050e+00,1.029961228e+00,-7.796421051e-01,6.707670689e-01,-1.743304431e-01,-3.446415901e+00,-3.422233582e+00,-2.414650202e+00,-2.507371187e+00,-2.378256559e+00,-2.875625849e+00,-3.482712746e+00,4.151833951e-01,3.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,1.070785046e+00,2.913753033e+00,-1.073837280e-01,1.000000000e+00,-1.809577823e+00,-3.617390633e+00,-3.841592697e-03,2.913752556e+00,-3.539806366e+00,-1.845978260e+00,3.046604395e+00,4.151833951e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,1.000000000e+00,3.000000000e+00,1.000000000e+00,1.000000000e+00,-5.944399357e+00,-3.374577522e+00,-3.131049871e+00,-5.944377422e+00,1.000000000e+00,4.141753038e-07,1.088109730e-05
0,1,8.111048937e-01,8.086760640e-01,-1.068812132e+00,6.547411680e-01,-2.995005548e-01,-3.210210562e+00,-3.204250813e+00,-2.351656675e+00,-2.549061537e+00,-2.349228382e+00,-2.688380718e+00,-3.212635517e+00,-1.058581918e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,1.066730380e+00,2.882694483e+00,-1.903562844e-01,1.000000000e+00,-1.877460480e+00,-3.752517700e+00,6.212332845e-01,2.882688046e+00,-2.736421347e+00,-1.879889011e+00,2.461308002e+00,1.058581918e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,-5.463574409e+00,-1.833186388e+00,7.589506358e-02,-5.459075451e+00,1.000000000e+00,4.141753038e-07,5.346516892e-02
0,2,6.680052280e-01,5.931543708e-01,-1.265664577e+00,8.116858602e-01,-1.425561309e-01,-3.240731478e+00,-3.247509241e+00,-2.523092270e+00,-2.647732496e+00,-2.448264122e+00,-2.526577234e+00,-3.315440178e+00,6.041137576e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,9.729612470e-01,2.934877396e+00,-3.341177106e-02,1.000000000e+00,-1.858795404e+00,-3.715284586e+00,8.926504850e-01,2.934859514e+00,-2.348332405e+00,-1.933640480e+00,2.241723776e+00,6.041137576e-01,3.000000000e+00,0.000000000e+00,3.000000000e+00,3.000000000e+00,1.000000000e+00,7.000000000e+00,1.000000000e+00,1.000000000e+00,-4.466357708e+00,-1.709323645e+00,2.821640372e-01,-4.458201885e+00,1.000000000e+00,4.141753038e-07,8.968199492e-01
0,3,3.953838646e-01,3.701006472e-01,-1.514402747e+00,5.141089559e-01,-4.401324391e-01,-3.047941446e+00,-3.095493317e+00,-2.273418427e+00,-2.481693983e+00,-2.248139858e+00,-2.279706240e+00,-3.073195696e+00,-3.445439339e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,1.803634882e+00,3.150033951e+00,-3.309882581e-01,1.000000000e+00,-1.884484053e+00,-3.766379118e+00,-1.474117994e+00,3.150033951e+00,-4.316952229e+00,-1.909765244e+00,4.853867531e+00,3.445439339e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,-5.125272751e+00,-3.359827518e+00,-2.952600241e+00,-5.125108719e+00,1.000000000e+00,1.284178644e-01,9.950845838e-01
0,4,3.280387223e-01,3.279269934e-01,-1.590390086e+00,9.295847416e-01,-2.465734072e-02,-3.027473688e+00,-3.117751360e+00,-2.249314547e+00,-2.523851156e+00,-2.249202728e+00,-2.246294975e+00,-3.027585268e+00,2.268122323e-02,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,1.946253628e-01,2.346595764e+00,8.448701352e-02,1.000000000e+00,-1.918297768e+00,-3.833695412e+00,1.582319033e-03,2.346591234e+00,-2.850033760e+00,-1.918409467e+00,2.619581223e+00,2.268122323e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.968096614e-01
0,5,3.338336945e-01,3.227561414e-01,-1.583716869e+00,1.478289217e-01,-8.064110875e-01,-3.056964636e+00,-3.083428144e+00,-2.292198420e+00,-2.479565859e+00,-2.281122923e+00,-2.240193605e+00,-3.068029404e+00,2.268240750e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,5.014718771e-01,2.531941891e+00,-6.972672939e-01,1.000000000e+00,-1.906454444e+00,-3.810111284e+00,-2.676484346e+00,2.531941891e+00,-5.364732742e+00,-1.917531133e+00,5.348945618e+00,2.268240750e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,1.000000000e+00,3.000000000e+00,1.000000000e+00,1.000000000e+00,-5.690098763e+00,-2.374049664e+00,-9.389840364e-01,-5.689163685e+00,1.000000000e+00,4.141753038e-07,9.969659448e-01
0,6,7.562979460e-01,1.875606179e-01,-1.236948371e+00,9.737529755e-01,1.951079816e-02,-2.846876144e+00,-2.686284065e+00,-2.300711393e+00,-2.175206184e+00,-1.732037067e+00,-2.180460930e+00,-3.414788723e+00,-1.983978271e+00,6.000000000e+00,6.000000000e+00,7.000000000e+00,0.000000000e+00,-6.123058498e-03,1.728999376e+00,1.286551952e-01,1.000000000e+00,-1.424504638e+00,-2.848438740e+00,-1.012004137e+00,1.728998661e+00,-3.373811722e+00,-1.993210912e+00,3.183549881e+00,1.983978271e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.990128279e-01
1,0,9.910489917e-01,7.160978913e-01,-1.029906273e+00,3.135783076e-01,-6.406624913e-01,-3.347379208e+00,-3.162329197e+00,-2.630287409e+00,-2.522984028e+00,-2.355423212e+00,-2.736723661e+00,-3.621477365e+00,-1.246881366e+00,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,-8.510730267e-01,1.931236148e+00,-5.315184593e-01,1.000000000e+00,-1.745984554e+00,-3.490574360e+00,9.458021522e-01,1.928901553e+00,-2.293339252e+00,-2.020914316e+00,1.150690317e+00,1.246881366e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,-4.000000000e+00,4.000000000e+00,1.000000000e+00,1.000000000e+00,-5.203959942e+00,-1.818974495e+00,-1.327100992e-01,-5.198460102e+00,1.000000000e+00,4.141753038e-07,4.007688463e-01
1,1,7.360470891e-01,6.750029922e-01,-1.190892220e+00,8.384172320e-01,-1.158247516e-01,-3.272947788e+00,-3.288230896e+00,-2.536778927e+00,-2.677896023e+00,-2.475754499e+00,-2.601693869e+00,-3.333868980e+00,-5.427097678e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,-1.011969447e+00,1.973785520e+00,-6.680410821e-03,1.000000000e+00,-1.865869880e+00,-3.729387045e+00,1.207123518e+00,1.967330933e+00,-2.145921469e+00,-1.926909208e+00,9.624132514e-01,5.427097678e-01,3.000000000e+00,0.000000000e+00,3.000000000e+00,3.000000000e+00,-1.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,-4.573290825e+00,-1.983090997e+00,-2.253841162e-01,-4.568966389e+00,1.000000000e+00,4.141753038e-07,6.310937405e-01
1,2,7.120470405e-01,3.935444057e-01,-1.350641251e+00,7.203441858e-01,-2.338976413e-01,-3.085468292e+00,-3.031563520e+00,-2.479582071e+00,-2.436971188e+00,-2.161147594e+00,-2.455772161e+00,-3.403399229e+00,1.363114834e+00,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,-9.415401816e-01,1.690505147e+00,-1.247533634e-01,1.000000000e+00,-1.744171023e+00,-3.486710548e+00,5.428747740e-03,1.690412521e+00,-2.824915409e+00,-2.062647820e+00,1.960746288e+00,1.363114834e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,5.000000000e+00,1.800000000e+01,1.000000000e+00,1.000000000e+00,-4.773900986e+00,-1.545169353e+00,3.736143112e-01,-4.762413025e+00,1.000000000e+00,1.120000720e+00,9.936337471e-01
