event_idx,track_idx,muon_general_tracks_p,muon_general_tracks_pt,muon_general_tracks_ptErr,muon_general_tracks_chi2,muon_general_tracks_normalizedChi2,muon_general_tracks_etaErr,muon_general_tracks_phiErr,muon_general_tracks_dszErr,muon_general_tracks_dxyErr,muon_general_tracks_dzErr,muon_general_tracks_qoverpErr,muon_general_tracks_lambdaErr,muon_general_tracks_eta,muon_general_tracks_nPixelHits,muon_general_tracks_nTrkLays,muon_general_tracks_nFoundHits,muon_general_tracks_nLostHits,muon_general_tracks_impact3D,muon_general_tracks_impactSignificance,muon_general_tracks_chi2PerHit,muon_general_tracks_hitEfficiency,muon_general_tracks_sigmaPtOverPt,muon_general_tracks_relUncertaintyProduct,muon_general_tracks_sip2D,muon_general_tracks_sipZ,muon_general_tracks_dxyOverPt,muon_general_tracks_ptErrOverP,muon_general_tracks_dzOverDxy,muon_general_tracks_absEta,L1TkMu_nStubs,L1TkMu_nStubs_Endcap,L1TkMu_nStubs_Barrel,L1TkMu_stubQual_max,L1TkMu_stubMax_etaRegion,L1TkMu_stubMax_phiRegion,L1TkMu_stubMax_depthRegion,L1TkMu_hasMatch,L1TkMu_dR2min,L1TkMu_dPtNorm,L1TkMu_chi2Pt,L1TkMu_matchingScore,L1TkMu_nCompatible,L1TkMu_secondBest_dR2,is_low_pt
0,0,4.541201293e-01,2.595596015e-01,-1.854069233e+00,1.515557766e+00,2.368043810e-01,-2.914400578e+00,-2.912295103e+00,-2.378670216e+00,-2.395880938e+00,-2.184146881e+00,-2.570877790e+00,-3.108759642e+00,1.018566132e+00,4.000000000e+00,9.000000000e+00,1.200000000e+01,1.000000000e+00,7.335061431e-01,2.550967693e+00,4.363766313e-01,9.230769277e-01,-2.113603115e+00,-4.223256111e+00,3.356904909e-02,2.550965548e+00,-2.621797800e+00,-2.308131933e+00,2.729072571e+00,1.018566132e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.982810020e-01
0,1,1.020667553e+00,7.856932878e-01,-1.299244881e+00,1.475857615e+00,4.449421912e-02,-3.374381542e+00,-3.443365097e+00,-2.849746704e+00,-3.006337166e+00,-2.614900827e+00,-3.105319977e+00,-3.608618259e+00,1.136081100e+00,4.000000000e+00,1.000000000e+01,1.600000000e+01,0.000000000e+00,3.518951237e-01,2.792531252e+00,2.717378438e-01,1.000000000e+00,-2.084893942e+00,-4.163774014e+00,1.751101375e+00,2.790729523e+00,-2.041322231e+00,-2.319830418e+00,1.431318760e+00,1.136081100e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,1.000000000e+00,4.141753038e-07,9.883721173e-02
0,2,3.962258697e-01,1.760392785e-01,-1.791062951e+00,1.286831141e+00,1.107401773e-01,-2.850043058e+00,-2.840645075e+00,-2.322562695e+00,-2.333214760e+00,-2.102412224e+00,-2.365635157e+00,-3.070026636e+00,1.093823314e+00,3.000000000e+00,6.000000000e+00,1.000000000e+01,1.000000000e+00,1.025784135e+00,2.615360260e+00,2.868313789e-01,9.090909362e-01,-1.967088461e+00,-3.932901859e+00,-7.854906842e-03,2.615359068e+00,-2.517059803e+00,-2.187248707e+00,2.853960037e+00,1.093823314e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.990892410e-01
0,3,2.054227114e+00,1.776977301e+00,-1.818983704e-01,1.152106285e+00,-3.102908731e-01,-3.656999826e+00,-4.148818970e+00,-2.669759512e+00,-3.351483345e+00,-2.392605543e+00,-4.008182526e+00,-3.932492018e+00,1.253120899e+00,3.000000000e+00,9.000000000e+00,1.700000000e+01,0.000000000e+00,3.857598603e-01,2.585784197e+00,-7.834214717e-02,1.000000000e+00,-1.958836794e+00,-3.913705349e+00,1.061237097e+00,2.585590124e+00,-4.063148499e+00,-2.236051321e+00,2.484015703e+00,1.253120899e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,4.000000000e+00,1.000000000e+01,1.000000000e+00,1.000000000e+00,-5.331606865e+00,-1.786263704e+00,3.310794830e-01,-5.326063156e+00,1.000000000e+00,4.141753038e-07,2.061153692e-09
1,0,1.111158371e+00,3.500022292e-01,-1.532749653e+00,1.670260310e+00,2.078626007e-01,-2.727866173e+00,-2.727051973e+00,-2.213336468e+00,-2.212335348e+00,-1.452238798e+00,-2.997830868e+00,-3.487916708e+00,-2.438178539e+00,9.000000000e+00,1.100000000e+01,1.700000000e+01,0.000000000e+00,8.233177066e-01,1.863951206e+00,4.398115575e-01,1.000000000e+00,-1.882733345e+00,-3.767322302e+00,9.843042120e-03,1.863908648e+00,-2.552410603e+00,-2.643731594e+00,2.614151955e+00,2.438178539e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.960202575e-01
1,1,1.093885183e+00,3.595202565e-01,-1.373111248e+00,1.127732873e+00,-1.027155519e-01,-2.748027563e+00,-2.749361992e+00,-2.301419497e+00,-2.307821989e+00,-1.567125440e+00,-2.828211546e+00,-3.481318235e+00,-2.375478983e+00,9.000000000e+00,8.000000000e+00,1.100000000e+01,0.000000000e+00,4.923592806e-01,1.813326478e+00,8.634049445e-02,1.000000000e+00,-1.732618213e+00,-3.465988874e+00,-4.783262908e-01,1.813320875e+00,-3.145150900e+00,-2.466879368e+00,3.032151937e+00,2.375478983e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,1.000000000e+00,4.141753038e-07,9.956069589e-01
1,2,1.220145464e+00,4.703225493e-01,-1.387410045e+00,1.509213567e+00,-3.485398367e-02,-2.859835386e+00,-2.835017920e+00,-2.326400518e+00,-2.281323910e+00,-1.576653242e+00,-3.079668760e+00,-3.608207703e+00,-2.411670685e+00,9.000000000e+00,1.200000000e+01,2.000000000e+01,0.000000000e+00,6.624470353e-01,1.908014059e+00,2.081838548e-01,1.000000000e+00,-1.857711792e+00,-3.715526819e+00,2.894276679e-01,1.907888174e+00,-2.462175846e+00,-2.607390165e+00,2.323155403e+00,2.411670685e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,5.000000000e+00,8.000000000e+00,3.000000000e+00,1.000000000e+00,-4.962148666e+00,-1.590350986e+00,5.573492050e-01,-4.952133179e+00,1.000000000e+00,8.547057956e-02,9.835880995e-01
1,3,1.008859634e+00,3.212463856e-01,-1.368024707e+00,1.275199175e+00,-3.553994233e-03,-2.913930893e+00,-2.618629932e+00,-1.731170535e+00,-1.606019735e+00,-1.043575764e+00,-2.696639538e+00,-3.600167513e+00,-2.265727997e+00,1.000000000e+00,7.000000000e+00,1.200000000e+01,0.000000000e+00,1.294850469e+00,1.797106028e+00,1.960181743e-01,1.000000000e+00,-1.689259768e+00,-3.376243114e+00,1.607622862e+00,1.679618716e+00,-3.196597695e-01,-2.376791000e+00,6.344523430e-01,2.265727997e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.970097542e-01
1,4,1.183912992e+00,6.436092257e-01,-1.450876355e+00,1.377664447e+00,-1.408489347e-01,-3.137039661e+00,-3.142235994e+00,-2.605700970e+00,-2.626032829e+00,-2.065521955e+00,-3.279199362e+00,-3.675875425e+00,-1.915799022e+00,6.000000000e+00,1.100000000e+01,1.900000000e+01,0.000000000e+00,1.792417049e+00,2.961781263e+00,9.891112894e-02,1.000000000e+00,-2.094443798e+00,-4.183926582e+00,4.109989852e-02,2.961781025e+00,-3.227991343e+00,-2.634614229e+00,3.481158495e+00,1.915799022e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,-5.000000000e+00,8.000000000e+00,1.000000000e+00,1.000000000e+00,-5.502759933e+00,-1.823017836e+00,5.560558438e-01,-5.498332500e+00,1.000000000e+00,4.141753038e-07,7.679601908e-01
1,5,8.300442100e-01,3.941038251e-01,-1.677884817e+00,1.445556760e+00,-4.580444470e-02,-2.956882238e+00,-2.949598074e+00,-2.434244633e+00,-2.438777685e+00,-1.998378873e+00,-2.904891729e+00,-3.392143488e+00,-1.661529183e+00,4.000000000e+00,1.100000000e+01,1.800000000e+01,1.000000000e+00,1.516021729e+00,2.756434202e+00,1.902845204e-01,9.473684430e-01,-2.071957827e+00,-4.141152859e+00,1.317190528e-01,2.756432772e+00,-2.701063633e+00,-2.507809877e+00,3.065100670e+00,1.661529183e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.935932755e-01
1,6,7.498191595e-01,3.704688549e-01,-1.488424778e+00,1.222358465e+00,-5.639471859e-02,-2.959402084e+00,-2.949855566e+00,-2.492846489e+00,-2.503751278e+00,-2.113574743e+00,-2.609658003e+00,-3.338201046e+00,-1.519898534e+00,6.000000000e+00,8.000000000e+00,1.200000000e+01,0.000000000e+00,8.233047128e-01,2.525286674e+00,1.431774199e-01,1.000000000e+00,-1.858875394e+00,-3.716655016e+00,1.372069269e-01,2.525282860e+00,-2.736914873e+00,-2.238182068e+00,2.778233767e+00,1.519898534e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.950651526e-01
1,7,6.815004945e-01,5.333215594e-01,-1.635969400e+00,2.507906199e+00,1.146178484e+00,-3.183043003e+00,-3.193992138e+00,-2.663576126e+00,-2.732114792e+00,-2.515455008e+00,-2.851515293e+00,-3.330952883e+00,-8.737459779e-01,4.000000000e+00,9.000000000e+00,1.400000000e+01,0.000000000e+00,-1.364353061e+00,1.833429933e+00,1.361778259e+00,1.000000000e+00,-2.169245481e+00,-4.330242157e+00,-1.589470655e-01,1.833407521e+00,-3.423465252e+00,-2.317398310e+00,2.208769083e+00,8.737459779e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.597316980e-01
1,8,6.314876676e-01,5.780017972e-01,-1.576903343e+00,1.279245615e+00,-1.521175951e-01,-3.226653337e+00,-3.223045349e+00,-2.531264544e+00,-2.560549974e+00,-2.477795601e+00,-2.786487818e+00,-3.280043364e+00,-5.065450072e-01,4.000000000e+00,1.000000000e+01,1.600000000e+01,0.000000000e+00,1.174868226e+00,3.065361023e+00,7.512590289e-02,1.000000000e+00,-2.154859304e+00,-4.301405907e+00,5.894595385e-01,3.065358639e+00,-2.549096346e+00,-2.208337069e+00,2.558640242e+00,5.065450072e-01,3.000000000e+00,0.000000000e+00,3.000000000e+00,3.000000000e+00,-1.000000000e+00,3.000000000e+00,1.000000000e+00,1.000000000e+00,-4.799501896e+00,-3.073259830e+00,-1.838408470e+00,-4.799158573e+00,1.000000000e+00,4.141753038e-07,9.191696644e-01
2,0,1.001072168e+00,3.420407176e-01,-1.583482981e+00,1.713233471e+00,1.691657156e-01,-2.786731005e+00,-2.777160168e+00,-2.272877216e+00,-2.261264563e+00,-1.613909245e+00,-2.930181742e+00,-3.444817305e+00,-2.198381424e+00,8.000000000e+00,1.200000000e+01,2.000000000e+01,1.000000000e+00,9.224011302e-01,2.075135231e+00,4.122036397e-01,9.523809552e-01,-1.925503492e+00,-3.851920366e+00,-1.422796249e-01,2.075127125e+00,-2.745422840e+00,-2.584404945e+00,2.864714384e+00,2.198381424e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,-8.790663444e-03,9.963299632e-01
2,1,9.580103755e-01,3.993909955e-01,-1.626879096e+00,1.583212018e+00,3.914431110e-02,-2.884022474e+00,-2.850886345e+00,-2.406087399e+00,-2.306999207e+00,-1.847547889e+00,-2.988197803e+00,-3.441771984e+00,-1.959759951e+00,6.000000000e+00,1.100000000e+01,2.000000000e+01,0.000000000e+00,1.259997249e+00,2.477577448e+00,2.821822464e-01,1.000000000e+00,-2.026242256e+00,-4.051975727e+00,-3.547415435e-01,2.477576971e+00,-3.060720921e+00,-2.584740877e+00,3.291629076e+00,1.959759951e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.931949377e-01
2,2,9.430379272e-01,3.482504487e-01,-1.671936512e+00,1.732563853e+00,2.412023991e-01,-2.817576885e+00,-2.780265331e+00,-2.357783318e+00,-2.249074221e+00,-1.763069391e+00,-2.968174934e+00,-3.411528349e+00,-2.046132803e+00,6.000000000e+00,1.100000000e+01,1.800000000e+01,0.000000000e+00,1.270686388e+00,2.398440361e+00,4.772914648e-01,1.000000000e+00,-2.020161629e+00,-4.040948868e+00,-4.627797753e-02,2.398437500e+00,-2.643488646e+00,-2.614815712e+00,2.930686712e+00,2.046132803e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,5.000000000e+00,3.000000000e+00,3.000000000e+00,1.000000000e+00,-4.819393635e+00,-2.045058727e+00,-4.193437099e-02,-4.815752506e+00,1.000000000e+00,4.141753038e-07,9.960909486e-01
2,3,8.140053749e-01,2.953229547e-01,-1.742125034e+00,1.451314688e+00,-6.719873101e-02,-2.811542511e+00,-2.803025007e+00,-2.289673090e+00,-2.275136471e+00,-1.771049619e+00,-2.856788158e+00,-3.329577923e+00,-1.863686800e+00,7.000000000e+00,1.100000000e+01,1.900000000e+01,0.000000000e+00,1.421623975e-01,1.842220664e+00,1.725613922e-01,1.000000000e+00,-2.037424564e+00,-4.075370312e+00,1.007262692e-01,1.842149258e+00,-2.469686985e+00,-2.555998087e+00,2.245501518e+00,1.863686800e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.976529479e-01
2,4,9.445272088e-01,4.767856002e-01,-1.528322220e+00,1.580327272e+00,1.179295480e-01,-3.240263700e+00,-3.227468491e+00,-2.363148451e+00,-2.411062002e+00,-1.895472765e+00,-2.949810743e+00,-3.706546068e+00,-1.739808440e+00,4.000000000e+00,1.000000000e+01,1.700000000e+01,1.000000000e+00,1.435837626e+00,2.613443613e+00,3.498784900e-01,9.444444180e-01,-2.005078316e+00,-4.006363392e+00,5.921428800e-01,2.613423824e+00,-2.295731068e+00,-2.472735167e+00,2.536919594e+00,1.739808440e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,5.000000000e+00,1.900000000e+01,3.000000000e+00,1.000000000e+00,-3.783614874e+00,-3.111330032e+00,-2.212795973e+00,-3.783281326e+00,1.000000000e+00,4.141753038e-07,9.820954800e-01
2,5,4.472255409e-01,3.731910288e-01,-1.656967878e+00,1.303974032e+00,-9.396548569e-02,-3.091985703e+00,-3.087166309e+00,-2.620707750e+00,-2.653042793e+00,-2.546701670e+00,-2.477728605e+00,-3.165920496e+00,6.006246209e-01,4.000000000e+00,9.000000000e+00,1.500000000e+01,0.000000000e+00,3.950493336e-01,2.744379282e+00,1.278830171e-01,1.000000000e+00,-2.030131817e+00,-4.055844784e+00,-6.262068450e-02,2.744378805e+00,-3.088517427e+00,-2.104157686e+00,2.913157940e+00,6.006246209e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.294933677e-01,9.949181080e-01
2,6,5.268332958e-01,4.112223983e-01,-1.678565264e+00,1.562167764e+00,7.080648094e-02,-3.113121271e+00,-3.134435654e+00,-2.615751982e+00,-2.690254688e+00,-2.500183105e+00,-2.617283106e+00,-3.228560209e+00,7.624255419e-01,4.000000000e+00,1.000000000e+01,1.800000000e+01,0.000000000e+00,3.953761756e-01,2.698010206e+00,3.068955243e-01,1.000000000e+00,-2.089754820e+00,-4.173907757e+00,2.549855709e-01,2.698007345e+00,-2.846399546e+00,-2.205349445e+00,2.633050919e+00,7.624255419e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.921916127e-01
2,7,1.064209461e+00,8.309234381e-01,-1.168000698e+00,1.308817387e+00,-8.912214637e-02,-3.354275942e+00,-3.342455626e+00,-2.581756115e+00,-2.670287132e+00,-2.348539114e+00,-3.062984705e+00,-3.586864233e+00,1.131295204e+00,4.000000000e+00,9.000000000e+00,1.500000000e+01,0.000000000e+00,2.962673604e-01,2.496775866e+00,1.327263713e-01,1.000000000e+00,-1.998887181e+00,-3.993904591e+00,2.845358849e-01,2.496767759e+00,-3.216163397e+00,-2.232142448e+00,2.533981085e+00,1.131295204e+00,3.000000000e+00,2.000000000e+00,1.000000000e+00,3.000000000e+00,2.000000000e+00,8.000000000e+00,1.000000000e+00,1.000000000e+00,-4.950685501e+00,-1.747768164e+00,4.868887067e-01,-4.943672657e+00,1.000000000e+00,4.141753038e-07,2.791063860e-02
2,8,7.125125527e-01,3.079388440e-01,-1.701373577e+00,1.678691745e+00,1.601780653e-01,-2.878807783e+00,-2.877630711e+00,-2.335239887e+00,-2.347443581e+00,-1.930722952e+00,-2.724970818e+00,-3.282876492e+00,1.583441734e+00,5.000000000e+00,1.200000000e+01,1.900000000e+01,0.000000000e+00,1.413397670e+00,2.637458801e+00,3.999383152e-01,1.000000000e+00,-2.009289742e+00,-4.017477989e+00,-6.077024937e-01,2.637458801e+00,-3.262387514e+00,-2.413795233e+00,3.661551476e+00,1.583441734e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.973639846e-01
