event_idx,track_idx,label,muon_pixel_tracks_p,muon_pixel_tracks_pt,muon_pixel_tracks_ptErr,muon_pixel_tracks_chi2,muon_pixel_tracks_normalizedChi2,muon_pixel_tracks_etaErr,muon_pixel_tracks_phiErr,muon_pixel_tracks_dszErr,muon_pixel_tracks_dxyErr,muon_pixel_tracks_dzErr,muon_pixel_tracks_qoverpErr,muon_pixel_tracks_lambdaErr,muon_pixel_tracks_eta,muon_pixel_tracks_nPixelHits,muon_pixel_tracks_nTrkLays,muon_pixel_tracks_nFoundHits,muon_pixel_tracks_nLostHits,muon_pixel_tracks_impact3D,muon_pixel_tracks_impactSignificance,muon_pixel_tracks_chi2PerHit,muon_pixel_tracks_hitEfficiency,muon_pixel_tracks_sigmaPtOverPt,muon_pixel_tracks_relUncertaintyProduct,muon_pixel_tracks_sip2D,muon_pixel_tracks_sipZ,muon_pixel_tracks_dxyOverPt,muon_pixel_tracks_ptErrOverP,muon_pixel_tracks_dzOverDxy,muon_pixel_tracks_absEta,L1TkMu_nStubs,L1TkMu_nStubs_Endcap,L1TkMu_nStubs_Barrel,L1TkMu_stubQual_max,L1TkMu_stubMax_etaRegion,L1TkMu_stubMax_phiRegion,L1TkMu_stubMax_depthRegion,L1TkMu_hasMatch,L1TkMu_dR2min,L1TkMu_dPtNorm,L1TkMu_chi2Pt,L1TkMu_matchingScore,L1TkMu_nCompatible,L1TkMu_secondBest_dR2,is_low_pt
0,0,1,1.066364050e+00,1.029961228e+00,-7.796420455e-01,6.707670689e-01,-1.743304431e-01,-3.446415901e+00,-3.422233820e+00,-2.414650440e+00,-2.507371426e+00,-2.378256559e+00,-2.875626087e+00,-3.482712746e+00,4.151833951e-01,3.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,1.070785046e+00,2.913753033e+00,-1.073837280e-01,1.000000000e+00,-1.809577942e+00,-3.617390871e+00,-3.841592465e-03,2.913752794e+00,-3.539806604e+00,-1.845978260e+00,3.046604633e+00,4.151833951e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,1.000000000e+00,3.000000000e+00,1.000000000e+00,1.000000000e+00,-5.944403172e+00,-3.374577522e+00,-3.131049871e+00,-5.944380760e+00,1.000000000e+00,4.342942646e-07,1.088109912e-05
0,1,1,8.111048937e-01,8.086760640e-01,-1.068812132e+00,6.547411680e-01,-2.995005548e-01,-3.210210800e+00,-3.204251051e+00,-2.351656675e+00,-2.549061537e+00,-2.349228621e+00,-2.688380957e+00,-3.212635517e+00,-1.058581918e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,1.066730380e+00,2.882694483e+00,-1.903562844e-01,1.000000000e+00,-1.877460480e+00,-3.752518177e+00,6.212332845e-01,2.882688046e+00,-2.736421347e+00,-1.879889131e+00,2.461308002e+00,1.058581918e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,-5.463573456e+00,-1.833186388e+00,7.589507848e-02,-5.459074974e+00,1.000000000e+00,4.342942646e-07,5.346516892e-02
0,2,1,6.680052876e-01,5.931543708e-01,-1.265664697e+00,8.116858602e-01,-1.425561309e-01,-3.240731478e+00,-3.247509480e+00,-2.523092270e+00,-2.647732496e+00,-2.448264360e+00,-2.526577473e+00,-3.315440178e+00,6.041137576e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,9.729612470e-01,2.934877634e+00,-3.341177106e-02,1.000000000e+00,-1.858795404e+00,-3.715284586e+00,8.926504850e-01,2.934859753e+00,-2.348332405e+00,-1.933640718e+00,2.241723776e+00,6.041137576e-01,3.000000000e+00,0.000000000e+00,3.000000000e+00,3.000000000e+00,1.000000000e+00,7.000000000e+00,1.000000000e+00,1.000000000e+00,-4.466358185e+00,-1.709323645e+00,2.821640074e-01,-4.458202839e+00,1.000000000e+00,4.342942646e-07,8.968199492e-01
0,3,0,3.953838944e-01,3.701006472e-01,-1.514402747e+00,5.141090155e-01,-4.401324689e-01,-3.047941685e+00,-3.095493555e+00,-2.273418427e+00,-2.481694221e+00,-2.248139858e+00,-2.279706240e+00,-3.073195696e+00,-3.445439339e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,1.803634882e+00,3.150034189e+00,-3.309882581e-01,1.000000000e+00,-1.884484053e+00,-3.766379356e+00,-1.474118114e+00,3.150034189e+00,-4.316952705e+00,-1.909765363e+00,4.853868008e+00,3.445439339e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,-5.125278950e+00,-3.359827518e+00,-2.952600241e+00,-5.125114918e+00,1.000000000e+00,1.284178793e-01,9.950845838e-01
0,4,0,3.280387223e-01,3.279270232e-01,-1.590390205e+00,9.295848012e-01,-2.465734072e-02,-3.027473927e+00,-3.117751598e+00,-2.249314547e+00,-2.523851395e+00,-2.249202967e+00,-2.246295214e+00,-3.027585506e+00,2.268122323e-02,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,1.946253777e-01,2.346595764e+00,8.448701352e-02,1.000000000e+00,-1.918297768e+00,-3.833695650e+00,1.582318917e-03,2.346591234e+00,-2.850033998e+00,-1.918409467e+00,2.619581223e+00,2.268122323e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.968096614e-01
0,5,0,3.338336945e-01,3.227561414e-01,-1.583716989e+00,1.478289217e-01,-8.064110875e-01,-3.056964874e+00,-3.083428144e+00,-2.292198658e+00,-2.479566097e+00,-2.281123161e+00,-2.240193605e+00,-3.068029642e+00,2.268240750e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,5.014719367e-01,2.531942129e+00,-6.972672939e-01,1.000000000e+00,-1.906454444e+00,-3.810111523e+00,-2.676484346e+00,2.531942129e+00,-5.364732742e+00,-1.917531133e+00,5.348945618e+00,2.268240750e-01,4.000000000e+00,0.000000000e+00,4.000000000e+00,3.000000000e+00,1.000000000e+00,3.000000000e+00,1.000000000e+00,1.000000000e+00,-5.690093994e+00,-2.374049425e+00,-9.389840961e-01,-5.689158916e+00,1.000000000e+00,4.342942646e-07,9.969659448e-01
0,6,0,7.562979460e-01,1.875606328e-01,-1.236948371e+00,9.737529755e-01,1.951079816e-02,-2.846876383e+00,-2.686284065e+00,-2.300711393e+00,-2.175206184e+00,-1.732037187e+00,-2.180461168e+00,-3.414788961e+00,-1.983978271e+00,6.000000000e+00,6.000000000e+00,7.000000000e+00,0.000000000e+00,-6.123058032e-03,1.728999496e+00,1.286551952e-01,1.000000000e+00,-1.424504757e+00,-2.848438740e+00,-1.012004137e+00,1.728998780e+00,-3.373811960e+00,-1.993211150e+00,3.183550119e+00,1.983978271e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.990128279e-01
1,0,1,9.910489917e-01,7.160979509e-01,-1.029906392e+00,3.135783076e-01,-6.406625509e-01,-3.347379208e+00,-3.162329197e+00,-2.630287409e+00,-2.522984266e+00,-2.355423212e+00,-2.736723661e+00,-3.621477365e+00,-1.246881366e+00,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,-8.510730267e-01,1.931236148e+00,-5.315185189e-01,1.000000000e+00,-1.745984554e+00,-3.490574360e+00,9.458021522e-01,1.928901553e+00,-2.293339491e+00,-2.020914555e+00,1.150690436e+00,1.246881366e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,-4.000000000e+00,4.000000000e+00,1.000000000e+00,1.000000000e+00,-5.203985691e+00,-1.818974495e+00,-1.327101141e-01,-5.198485851e+00,1.000000000e+00,4.342942646e-07,4.007688463e-01
1,1,1,7.360470891e-01,6.750029922e-01,-1.190892220e+00,8.384172320e-01,-1.158247441e-01,-3.272947788e+00,-3.288231134e+00,-2.536778927e+00,-2.677896023e+00,-2.475754499e+00,-2.601693869e+00,-3.333868980e+00,-5.427097678e-01,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,-1.011969447e+00,1.973785520e+00,-6.680410355e-03,1.000000000e+00,-1.865869880e+00,-3.729387045e+00,1.207123637e+00,1.967330933e+00,-2.145921707e+00,-1.926909208e+00,9.624132514e-01,5.427097678e-01,3.000000000e+00,0.000000000e+00,3.000000000e+00,3.000000000e+00,-1.000000000e+00,1.000000000e+00,1.000000000e+00,1.000000000e+00,-4.573296547e+00,-1.983090997e+00,-2.253841013e-01,-4.568972111e+00,1.000000000e+00,4.342942646e-07,6.310937405e-01
1,2,0,7.120470405e-01,3.935444057e-01,-1.350641251e+00,7.203441858e-01,-2.338976562e-01,-3.085468531e+00,-3.031563759e+00,-2.479582310e+00,-2.436971188e+00,-2.161147833e+00,-2.455772400e+00,-3.403399467e+00,1.363114834e+00,4.000000000e+00,7.000000000e+00,7.000000000e+00,0.000000000e+00,-9.415401816e-01,1.690505147e+00,-1.247533634e-01,1.000000000e+00,-1.744171023e+00,-3.486710548e+00,5.428747274e-03,1.690412521e+00,-2.824915648e+00,-2.062647820e+00,1.960746288e+00,1.363114834e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,5.000000000e+00,1.800000000e+01,1.000000000e+00,1.000000000e+00,-4.773902893e+00,-1.545169353e+00,3.736143410e-01,-4.762414932e+00,1.000000000e+00,1.120000720e+00,9.936337471e-01
