event_idx,track_idx,label,muon_general_tracks_p,muon_general_tracks_pt,muon_general_tracks_ptErr,muon_general_tracks_chi2,muon_general_tracks_normalizedChi2,muon_general_tracks_etaErr,muon_general_tracks_phiErr,muon_general_tracks_dszErr,muon_general_tracks_dxyErr,muon_general_tracks_dzErr,muon_general_tracks_qoverpErr,muon_general_tracks_lambdaErr,muon_general_tracks_eta,muon_general_tracks_nPixelHits,muon_general_tracks_nTrkLays,muon_general_tracks_nFoundHits,muon_general_tracks_nLostHits,muon_general_tracks_impact3D,muon_general_tracks_impactSignificance,muon_general_tracks_chi2PerHit,muon_general_tracks_hitEfficiency,muon_general_tracks_sigmaPtOverPt,muon_general_tracks_relUncertaintyProduct,muon_general_tracks_sip2D,muon_general_tracks_sipZ,muon_general_tracks_dxyOverPt,muon_general_tracks_ptErrOverP,muon_general_tracks_dzOverDxy,muon_general_tracks_absEta,L1TkMu_nStubs,L1TkMu_nStubs_Endcap,L1TkMu_nStubs_Barrel,L1TkMu_stubQual_max,L1TkMu_stubMax_etaRegion,L1TkMu_stubMax_phiRegion,L1TkMu_stubMax_depthRegion,L1TkMu_hasMatch,L1TkMu_dR2min,L1TkMu_dPtNorm,L1TkMu_chi2Pt,L1TkMu_matchingScore,L1TkMu_nCompatible,L1TkMu_secondBest_dR2,is_low_pt
0,0,0,4.541201591e-01,2.595596015e-01,-1.854069233e+00,1.515557885e+00,2.368043959e-01,-2.914400816e+00,-2.912295341e+00,-2.378670216e+00,-2.395880938e+00,-2.184147120e+00,-2.570877790e+00,-3.108759880e+00,1.018566132e+00,4.000000000e+00,9.000000000e+00,1.200000000e+01,1.000000000e+00,7.335062027e-01,2.550967693e+00,4.363766611e-01,9.230769277e-01,-2.113603354e+00,-4.223256111e+00,3.356904909e-02,2.550965786e+00,-2.621797800e+00,-2.308131933e+00,2.729072571e+00,1.018566132e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.982810020e-01
0,1,1,1.020667553e+00,7.856932878e-01,-1.299245000e+00,1.475857735e+00,4.449421540e-02,-3.374381542e+00,-3.443365097e+00,-2.849746943e+00,-3.006337404e+00,-2.614900827e+00,-3.105320215e+00,-3.608618259e+00,1.136081100e+00,4.000000000e+00,1.000000000e+01,1.600000000e+01,0.000000000e+00,3.518951535e-01,2.792531252e+00,2.717378736e-01,1.000000000e+00,-2.084894180e+00,-4.163774490e+00,1.751101375e+00,2.790729523e+00,-2.041322470e+00,-2.319830418e+00,1.431318879e+00,1.136081100e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,1.000000000e+00,4.342942646e-07,9.883721173e-02
0,2,0,3.962258995e-01,1.760392785e-01,-1.791062951e+00,1.286831260e+00,1.107401699e-01,-2.850043297e+00,-2.840645313e+00,-2.322562933e+00,-2.333214998e+00,-2.102412462e+00,-2.365635157e+00,-3.070026875e+00,1.093823314e+00,3.000000000e+00,6.000000000e+00,1.000000000e+01,1.000000000e+00,1.025784254e+00,2.615360260e+00,2.868313789e-01,9.090909362e-01,-1.967088699e+00,-3.932901859e+00,-7.854906842e-03,2.615359068e+00,-2.517060041e+00,-2.187248707e+00,2.853960276e+00,1.093823314e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.990892410e-01
0,3,1,2.054227352e+00,1.776977301e+00,-1.818983704e-01,1.152106285e+00,-3.102908731e-01,-3.657000065e+00,-4.148818970e+00,-2.669759512e+00,-3.351483583e+00,-2.392605543e+00,-4.008183002e+00,-3.932492256e+00,1.253120899e+00,3.000000000e+00,9.000000000e+00,1.700000000e+01,0.000000000e+00,3.857598901e-01,2.585784197e+00,-7.834215462e-02,1.000000000e+00,-1.958837032e+00,-3.913705349e+00,1.061237097e+00,2.585590124e+00,-4.063148975e+00,-2.236051559e+00,2.484015703e+00,1.253120899e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,4.000000000e+00,1.000000000e+01,1.000000000e+00,1.000000000e+00,-5.331634998e+00,-1.786263704e+00,3.310795128e-01,-5.326091290e+00,1.000000000e+00,4.342942646e-07,2.061153470e-09
1,0,0,1.111158490e+00,3.500022292e-01,-1.532749772e+00,1.670260429e+00,2.078626007e-01,-2.727866173e+00,-2.727051973e+00,-2.213336706e+00,-2.212335587e+00,-1.452238917e+00,-2.997831106e+00,-3.487916946e+00,-2.438178539e+00,9.000000000e+00,1.100000000e+01,1.700000000e+01,0.000000000e+00,8.233177662e-01,1.863951206e+00,4.398115873e-01,1.000000000e+00,-1.882733345e+00,-3.767322540e+00,9.843041189e-03,1.863908648e+00,-2.552410603e+00,-2.643731594e+00,2.614151955e+00,2.438178539e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.960202575e-01
1,1,0,1.093885183e+00,3.595202565e-01,-1.373111367e+00,1.127732873e+00,-1.027155519e-01,-2.748027563e+00,-2.749361992e+00,-2.301419735e+00,-2.307822227e+00,-1.567125440e+00,-2.828211784e+00,-3.481318474e+00,-2.375478983e+00,9.000000000e+00,8.000000000e+00,1.100000000e+01,0.000000000e+00,4.923593402e-01,1.813326478e+00,8.634048700e-02,1.000000000e+00,-1.732618213e+00,-3.465988874e+00,-4.783263206e-01,1.813320875e+00,-3.145150900e+00,-2.466879606e+00,3.032152176e+00,2.375478983e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,1.000000000e+00,4.342942646e-07,9.956069589e-01
1,2,0,1.220145583e+00,4.703225493e-01,-1.387410164e+00,1.509213686e+00,-3.485398367e-02,-2.859835625e+00,-2.835018158e+00,-2.326400757e+00,-2.281323910e+00,-1.576653361e+00,-3.079668999e+00,-3.608207703e+00,-2.411670685e+00,9.000000000e+00,1.200000000e+01,2.000000000e+01,0.000000000e+00,6.624470353e-01,1.908014059e+00,2.081838548e-01,1.000000000e+00,-1.857711792e+00,-3.715526819e+00,2.894276977e-01,1.907888174e+00,-2.462176085e+00,-2.607390165e+00,2.323155403e+00,2.411670685e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,5.000000000e+00,8.000000000e+00,3.000000000e+00,1.000000000e+00,-4.962106705e+00,-1.590350986e+00,5.573491454e-01,-4.952091694e+00,1.000000000e+00,8.547050506e-02,9.835880995e-01
1,3,0,1.008859634e+00,3.212464154e-01,-1.368024826e+00,1.275199294e+00,-3.553994233e-03,-2.913931131e+00,-2.618629932e+00,-1.731170535e+00,-1.606019855e+00,-1.043575883e+00,-2.696639538e+00,-3.600167513e+00,-2.265727997e+00,1.000000000e+00,7.000000000e+00,1.200000000e+01,0.000000000e+00,1.294850469e+00,1.797106028e+00,1.960181743e-01,1.000000000e+00,-1.689259887e+00,-3.376243114e+00,1.607622981e+00,1.679618835e+00,-3.196597695e-01,-2.376791000e+00,6.344523430e-01,2.265727997e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.970097542e-01
1,4,0,1.183912992e+00,6.436092854e-01,-1.450876474e+00,1.377664447e+00,-1.408489347e-01,-3.137039900e+00,-3.142236233e+00,-2.605700970e+00,-2.626033068e+00,-2.065522194e+00,-3.279199362e+00,-3.675875425e+00,-1.915799022e+00,6.000000000e+00,1.100000000e+01,1.900000000e+01,0.000000000e+00,1.792417049e+00,2.961781502e+00,9.891112894e-02,1.000000000e+00,-2.094444036e+00,-4.183927059e+00,4.109989479e-02,2.961781025e+00,-3.227991581e+00,-2.634614229e+00,3.481158495e+00,1.915799022e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,-5.000000000e+00,8.000000000e+00,1.000000000e+00,1.000000000e+00,-5.502754211e+00,-1.823017955e+00,5.560558438e-01,-5.498326778e+00,1.000000000e+00,4.342942646e-07,7.679601908e-01
1,5,0,8.300442100e-01,3.941038549e-01,-1.677884817e+00,1.445556879e+00,-4.580444470e-02,-2.956882477e+00,-2.949598312e+00,-2.434244633e+00,-2.438777685e+00,-1.998379111e+00,-2.904891968e+00,-3.392143488e+00,-1.661529183e+00,4.000000000e+00,1.100000000e+01,1.800000000e+01,1.000000000e+00,1.516021848e+00,2.756434202e+00,1.902845353e-01,9.473684430e-01,-2.071958065e+00,-4.141153336e+00,1.317190677e-01,2.756433010e+00,-2.701063633e+00,-2.507809877e+00,3.065100908e+00,1.661529183e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.342942646e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.342942646e-07,9.935932755e-01
